record_key;ragione_sociale_azienda;date_periodo_di_retribuzione;string_periodo_di_retribuzione;retribuzione_minima_lorda;giorni_lavorati;ore_lavorate;percentuale_maggiorazione_ore_straordinario;ore_straordinarie;irpef_pagata;totale_competenze;totale_trattenute;arrotondamento;netto_del_mese;retribuzione_utile_tfr;quota_tfr;totale_ferie_rimanenti;totale_permessi_rimanenti;note
d7351e3a0420cf90c9c3ef7b72dcdf10decdb97e1c9548068cbbb5b756b62edc;Matrix Consulting Group Srl;2020-09-19;Settembre 2020;0.0;23;184;0;0;0.0;0.0;0.0;0.0;500.0;0.0;0.0;0.0;0.0;
931b4a5f7d48c39cc4c23cb310d40174aee4e10de7b6bcf3298cc4b28677e9ff;Matrix Consulting Group Srl;2020-10-23;Ottobre 2020;0.0;25;200;0;0;0.0;0.0;0.0;0.0;500.0;0.0;0.0;0.0;0.0;
b3926856c266f6a640b8e9e117b59e79791b2b9c5dafa0a914e63088280788c2;Matrix Consulting Group Srl;2020-11-23;Novembre 2020;0.0;21;168;0;0;0.0;0.0;0.0;0.0;500.0;0.0;0.0;0.0;0.0;
d6eece2b487d46c4896f1e2c54f2ee5d33b9781005e19d7b8e3e2d6b81a2b2e9;In Consulting Srl;2020-12-24;Dicembre 2020;0.0;22;176;0;0;0.0;0.0;0.0;0.0;500.0;0.0;0.0;0.0;0.0;
2df953c9bf567781c939dc7114e23e454cdd6ed461a966b2adfcb2249619a819;In Consulting Srl;2021-01-28;Gennaio 2021;0.0;19;152;0;0;0.0;0.0;0.0;0.0;500.0;0.0;0.0;0.0;0.0;
e090ff360ff94780ed5f8ac1a23fb098c11ab9c60566d0d6d9d9aa16b797100a;In Consulting Srl;2021-02-25;Febbraio 2021;0.0;25;200;0;0;0.0;0.0;0.0;0.0;800.0;0.0;0.0;0.0;0.0;
9707cf968f9c91ab0e0b7f8bdc0105a3c8487a4387463a1f5ac94ee4df7649ad;In Consulting Srl;2021-03-26;Marzo 2021;0.0;20;160;0;0;0.0;0.0;0.0;0.0;800.0;0.0;0.0;0.0;0.0;
106f13238ea4f3f2814185dfe0c3ff4a19b5df5cc9780a72c90ca88edde9229e;In Consulting Srl;2021-04-29;Aprile 2021;0.0;25;200;0;0;0.0;0.0;0.0;0.0;900.0;0.0;0.0;0.0;0.0;
f7015b802dfacf2286b3c5a2f47733f92cb4d4af4e9064522843bf5c83f1e69d;In Consulting Srl;2021-05-01;Maggio 2021;0.0;21;168;0;0;0.0;0.0;0.0;0.0;900.0;0.0;0.0;0.0;0.0;
97c48f9cc2c58678b59551f475d66edcab7f573fa89148519bf33ed0730242fe;In Consulting Srl;2021-06-30;Giugno 2021;0.0;22;176;0;0;0.0;0.0;0.0;0.0;900.0;0.0;0.0;0.0;0.0;
886247ff8a2ca5051fdc408c663ffd541a1d3a565b650c8ffbba595395bef520;Matrix Consulting Group Srl;2021-07-01;Luglio 2021;1403.41;22;178;25;2;155.0;1573.61;238.16;0.55;1336.0;1403.41;103.96;1.67;8.67;
9436ec1088b296e958d53aeab34f2e6f749e99edb4fb71b396f5f1356b5a7f07;Matrix Consulting Group Srl;2021-08-01;Agosto 2021;1403.41;18;143;25;1;322.03;1958.95;492.81;0.86;1467.0;1457.39;107.95;0.03;9.84;
9fed7e3f9c20bb9ddffcc686ab9707e921aa82e39fa16ac1b38fa17271eb48de;Matrix Consulting Group Srl;2021-09-01;Settembre 2021;1403.41;21;167;25;3;499.44;1762.87;351.6;0.73;1412.0;1457.39;107.95;0.7;14.51;
1ad1516156c5629ac30077af8d46f6748beaa5634fa30bdf7640676d5d24392e;Matrix Consulting Group Srl;2021-10-01;Ottobre 2021;1403.41;21;164;25;1;652.51;1673.03;276.94;0.91;1397.0;1403.41;103.96;2.37;18.18;
a7507da7fdf7ef1ac7d813f1b3d637994ae92293db0f1dc488d8780a5f922aef;Matrix Consulting Group Srl;2021-11-01;Novembre 2021;1403.41;21;164;25;1;824.41;1828.7;447.62;0.38;1476.0;1457.39;107.95;4.04;21.85;
3873e0b8e73e1eb6340fe2c06314f2b8897c3fde54be1bf6c233c6d72f46675b;Matrix Consulting Group Srl;2021-12-01;Dicembre 2021;1403.41;0;0;0;0;976.37;701.7;193.34;0.64;509.0;701.7;51.98;4.04;21.85;Tredicesima Mensilità Dicembre 2021 calcolata su 6 mesi lavorati
bd8174ffd4af3af122d6fc41278af1fcad5da80484e535651afebdabac494693;Matrix Consulting Group Srl;2021-12-01;Dicembre 2021;1403.41;22;172;25;1;1114.35;1831.98;318.83;0.85;1514.0;1457.39;107.95;5.71;25.52;Conguaglio di fine anno -28.82 IRPEF
bcc63e8c6f308efe26233c235a0cb8137c3a9c734e25bd2889a8ba4570006696;Matrix Consulting Group Srl;2022-01-01;Gennaio 2022;1403.41;20;161;25;1;60.87;1572.53;225.36;0.83;1348.0;1403.41;104.67;7.38;34.19;
769ca6fe5708a709722d598c8b7097ed315b66da54dbacdf295c557a29c9e617;Matrix Consulting Group Srl;2022-02-01;Febbraio 2022;1403.41;20;163;25;3;151.17;1603.79;202.02;0.23;1402.0;1403.41;104.68;9.05;42.86;
404106bd740a5e43f20712e3c837d3eb5a714f58875e3f65be641bfaa088e5eb;Matrix Consulting Group Srl;2022-03-01;Marzo 2022;1403.41;23;189;25;5;223.5;1784.11;187.04;0.93;1598.0;1403.41;104.67;10.72;51.53;
6ae842d6ed08e594db4dea13767bcb5ea548cdea95bd4b7174780cf9df3b01a5;Matrix Consulting Group Srl;2022-04-01;Aprile 2022;1403.41;19;157;25;5;316.8;1959.98;316.67;0.69;1644.0;1403.41;104.68;12.39;60.2;
b7a12643bbe60a548a1b726bd9375dbde458da5de3c71ddf12a543292a7519bc;Matrix Consulting Group Srl;2022-05-01;Maggio 2022;1403.41;22;185;25;9;418.14;1995.98;222.34;0.36;1774.0;1457.39;108.66;14.06;68.87;
a8ebe413b99a2470454cf4f76781eca5a99c7fb4f3730f3f9691573c27d6dde9;Matrix Consulting Group Srl;2022-06-01;Giugno 2022;1403.41;2;18;0;0;1261.11;4790.56;2825.6;0.0;1964.96;592.68;0.0;0.0;0.0;Fine Rapporto lavorativo con Matrix
